"";"identificationEtDescription:periodesDeCreationExecution";"identificationEtDescription:auteursExecutantsCollecteurs";"identificationEtDescription:titres";"identificationEtDescription:domaines";"identificationEtDescription:etatActuelDuBien";"identificationEtDescription:materiauxEtTechniques";"identificationEtDescription:mesures";"identificationEtDescription:inscriptions";"identificationEtDescription:millesimesDeCreationExecution";"identificationEtDescription:appellationsVernaculaires";"identificationEtDescription:nbreObjets";"identificationEtDescription:representations";"identificationEtDescription:denominations";"identificationEtDescription:nbreElements";"identificationEtDescription:numeroDInventaire";"identificationEtDescription:mouvement";"identificationEtDescription:techniques";"identificationEtDescription:ecoles";"identificationEtDescription:description";"identificationEtDescription:modesFonctionnement";"identificationEtDescription:autresNumeros";"identificationEtDescription:interetObjet";"identificationEtDescription:numeroDeDepot";"identificationEtDescription:anciensNumeros";"identificationEtDescription:particularites";"identificationEtDescription:etatDuBienHistory";"identificationEtDescription:onomastique";"identificationEtDescription:epoque";"identificationEtDescription:anciennesAttributions";"identificationEtDescription:appellation";"identificationEtDescription:descriptionsAnalytiques";"identificationEtDescription:autresDesignations";"identificationEtDescription:style";"identificationEtDescription:qualiteRealisation";"identificationEtDescription:precisionNumeroDInventaire";"identificationEtDescription:materiaux";"identificationEtDescription:rareteEnCollection";"identificationEtDescription:etatGeneral";"identificationEtDescription:appellations";"identificationEtDescription:etatActuelDuBien ### etat";"identificationEtDescription:etatActuelDuBien ### date";"item ### #text";"item ### precisions";"item ### mesuresSet";"item ### notes";"item ### precision";"item ### periode";"item ### affixe";"item ### traduction";"item ### transliteration";"item ### techniques";"item ### alphabet";"item ### inscription";"item ### type";"item ### justification";"item ### langue";"item ### emplacement";"item ### auteur";"identificationEtDescription:millesimeDeLOriginalCopie ### millesime";"identificationEtDescription:millesimeDeLOriginalCopie ### precision";"identificationEtDescription:millesimeDeLOriginalCopie ### affixe";"identificationEtDescription:millesimeDeLOriginalCopie ### notes";"identificationEtDescription:etatDuBienAcquisisionDepot ### dateConstat";"identificationEtDescription:etatDuBienAcquisisionDepot ### details";"identificationEtDescription:etatDuBienAcquisisionDepot ### etatInitialDuBien";"identificationEtDescription:etatDuBienAcquisisionDepot ### notes";"item ### complement";"item ### periodes";"item ### attribuePar";"item ### lieux";"item ### roles";"item ### millesimes";"item ### lesTechniques";"item ### lesMateriaux";"identificationEtDescription:periodeDeLOriginalCopie ### precision";"identificationEtDescription:periodeDeLOriginalCopie ### periode";"identificationEtDescription:periodeDeLOriginalCopie ### affixe";"identificationEtDescription:periodeDeLOriginalCopie ### notes";"item ### titre";"item ### millesime";"item ### affixes";"item ### denomination";"item ### numero";"item ### description";"item ### ecole";
"56268a1e-1867-432c-8799-48bde42a9d72";;;;;;;;"";"1";"";"";"AD 80 bis 2";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";" ### Etiquette encadreur Lebas ###  ### Création ### ";"4e quart 19e siècle ###  ### 1ère moitié 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Graveur ### ";"";" ### LEANDRECharles Lucien ### ";"estampe ### ";"papier ### ";"";"";"";"";"";"La Princesse jaune ### ";"";"65,5c180a133-2d3d-4e9b-b357-a9e73d043720 ### ";"";"";"";"";"C.Léandre. ###  ### Offert ( non affiché ) pour la [illisible] C.Rémy ###  ### Léandre gravure en couleur La princesse jaune 0,66 x 0,96 ### ";"Signature ###  ### Inscription ###  ### Etiquette ###  ### Etiquette ### ";"";"En bas à droite ###  ### En bas à gauche ###  ### Au dos ###  ### Au dos ### ";;;;;"
"
"5650297e-5cd9-402f-a980-7cbe5bb04a22";;;;;;;;"";"1";"";"";"FNAC 975";"";;"";;"";"";"";"";"";"FNAC 975";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"céramique ### ";"9a158800-505c-48e6-b9ea-bef96c8a977b";" ### en-dessous ###  ### Création ### ";"inconnue ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Céramiste ### ";"";" ### FITTEClaudine ### ";"";"céramique ### ";"";"";"";"";"";"Pichet ### ";"";"13fc342777-6134-4a98-a407-08f206835f4b ### ";"";"";"";"";"Claudius [illisible] 72 [illisible] Paris Ve ###  ### DC 56.57 ### ";"Etiquette ###  ### Etiquette ### ";"";"";;;;;"
"
"56503674-8a60-4f1c-84a8-f6df7edfc686";;;;;;;;"";"1";"";"";"83.56";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"vase ### ";"9a158800-505c-48e6-b9ea-bef96c8a977b";" ### Création ###  ### Vase en céramique ### ";"2e quart 20e siècle ### ";" ### entre ###  ### et ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Céramiste ### ";"";" ### LALLEMANTRobert ### ";"céramique ### ";"";"";"";"";"";"";"Palette cubiste ### ";"";"7,4d09d0b21-dec8-4272-867f-7f9ae5cf4253 ### ";"";"";"";"";"T R LALLEMANT France ###  ### - 80- 36- Musées du Havre 83.56 ### ";"Inscription ###  ### Etiquette ### ";"";"Au dessous ###  ### Au dessous ### ";;"1926 ###  ### 1933 ### ";;;"
"
"56545197-77dc-48df-873a-8c5c6b5e5fd9";;;;;;;;"";"";"";"";"2015.3.8";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";" ### février ### ";"photographie ### ";"4bea4ee8-ad38-4f84-be9b-ec5c53d19ead";" ### Création ###  ### date de prise de vue ### ";"4e quart 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Photographe ### ";"";"MÉRIELOlivier ### ";"a696b0b3-a5d6-441e-80e4-a544a915356a13507846-5fce-4564-9e32-f2bc4762392d ### ";"";"";"";"";"";"";"Phare de la Pointe de la Roque ### ";"";"48.8d74f0eba-9bb5-40a3-bc41-55ef7d0d55be ### ";;;;;;;;;;"1997 ### ";;;"
"
"565cbd52-b605-42e9-8fa1-27ece9cfbf60";;;;"";;;;"";"1";"";"";"563";"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";" ### Création ### ";"inconnue ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"INCONNU ### ";;;"";"";"";"";"";"Sainte Catherine d'Alexandrie ### ";"";"3d89f31ac-442f-4922-a414-e499739710e7 ### ";;;;;;;;;;;"SN 4a ### ";;"
"
"565da1c6-d2dd-41c6-a64a-cfe003fe4d07";;;;;;;;"";"1";"";"";"83.92";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";" ### Création ###  ### Lithographie ### ";"1ère moitié 20e siècle ###  ### 3e quart 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Lithographe ### ";"";" ### MIROJoan ### ";"lithographie ### ";"papier arches ### ";"";"";"";"";"";"Bon cap de Lluna ### ";"";"75,6c501fe68-68ab-4ddf-a9e1-6708febf4ff8 ### ";"";"";"";"";" ### 30/75 ### ";"Signature ###  ### Numéroté ### ";"";"";;;;;"
"
"5663a769-57cf-4ab6-a853-fbb3e6db0ce1";;;;;;;;"";"1";"";"";"83.109";"";"";"";;"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";" ### 1983.109 ###  ### Création ###  ### huile sur toile ### ";"20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";" ### GERVAIS ### ";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"";"Entrée du Port du Havre et bateaux de pêche ### ";;;"";"";"";"";"";"Signature ### ";"";"En bas à gauche ### ";;;"Ancien numéro ### ";;"
"
"56737cab-4721-41da-a08d-84151f041f54";;;;;;;"";"";"9";"";"";"1971.416";"";;"";;"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";;"";;"bf2236d1-5101-4db4-9180-a844761644b5";" ### 71.416 ###  ### Création ###  ### huile sur verre ### ";"3e quart 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";" ### Camille BRIAND de son vrai nomBRYEN (dit)Camille ### ";"peinture à l'huile ### ";"verre ### ";"";"";"";"";"";"Maquette bryscopie n° 385 E ### ";"";"2d89f31ac-442f-4922-a414-e499739710e7 ### ";"";"";"";"";"BRYEN ### ";"Signature ### ";"";"En bas à droite ### ";;"1964 ### ";"Ancien numéro ### ";;"
"
"569798ce-b823-4d10-a394-c31cb7d99cab";;;;;;;"";"";"";"";"";"2015.6.48";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";;" ### Tirage réalisé par La Chambre Noire à Paris, sous la direction de Bernard Plossu. ###  ### mars ### ";;"4bea4ee8-ad38-4f84-be9b-ec5c53d19ead";" ### tirage argentique noir et blanc sur papier, 1/30 ###  ### date de prise de vue ### ";"1er quart 21e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Photographe ###  ### Tireur ### ";"";"PLOSSUBernard ###  ### PLOSSUBernard ###  ### La Chambre Noire ### ";"tirage argentique noir et blanc ### ";"papier photographique ### ";"";"";"";"";"";"Le Havre. Mars 2014 ### ";"";"7.58f9313ee-3a8e-4fbc-b64a-4200d8e11ac4 ### ";"";"";"";"";"";"Signature ### ";"";"Au dos ### ";;"2014 ### ";;;"
"
"56c1fd91-0172-4b24-8a63-2969bc4e0255";;;;;;;;"";"1";"";"";"79.32";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";" ### fusain et sanguine sur papier ### ";"1er quart 20e siècle ### ";" ### entre ###  ### et ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";" ### EmileFRIESZOthon ### ";"sanguine ### ";"";"";"";"";"";"";"Portrait de Madame Othon Friesz ### ";"";"4.2d89f31ac-442f-4922-a414-e499739710e7 ### ";"";"";"";"";"E. Othon FRIESZ ### ";"Signature ### ";"";"En bas à droite ### ";;"1920 ###  ### 1922 ### ";;;"
"
"56c29769-011e-43d8-9b0e-56680b40f322";;;;;;;;"";"1";"";"";"E 245";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";" ### Création ### ";"1ère moitié 20e siècle ###  ### 3e quart 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Graveur ### ";"";" ### NOURYPierre ### ";"gravure ### ";"papier ### ";"";"";"";"";"";"La Vache ### ";"";"20,262edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";"";"";"";"";"Signature ### ";"";"En bas à droite ### ";;;;;"
"
"56cddfbc-6dea-4b5a-949c-516964aae89f";;;;;;;;"";"1";"";"";"75.76";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";" ### Création ###  ### huile sur toile ### ";"1ère moitié 20e siècle ###  ### 3e quart 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";" ### POUGHEONEugène Robert ### ";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"";"L'Agriculture ### ";"";"3d89f31ac-442f-4922-a414-e499739710e7 ### ";"";"";"";"";"POUGHEON ###  ### AGRICULTURE ### ";"Signature ###  ### Inscription ### ";"";"En bas à droite ###  ### En bas au centre ### ";;;;;"
"
"56d4f1f8-9632-43d4-a482-486cfed5f37a";;;;;;;;"";"1";"";"";"86.13";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";" ### Création ### ";"2e quart 20e siècle ###  ### 2e moitié 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Graveur ### ";"";"KERGThéo ### ";"gaufrage ### ";"papier ### ";"";"";"";"";"";"Manipulation ### ";"";"3262edb277-39c3-45b9-a4ee-b7725513f35c ### ";;;;;;;;;;;;;"
"
"56db44c1-0564-45d8-a57b-15155eb2db64";;;;;;;;"";"";"";"";"2004.3.149";"";;"";;"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";" ### 11 ###  ### Création ###  ### Graphite sur papier vergé doublé avec contremarque BOUCHET ###  ### Études pour \"Alexandre et Bucéphale\" ### ";"3e quart 19e siècle ### ";" ### entre ###  ### et ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";" ### Hilaire Germain Edgar de GAS de son vrai nomDEGASEdgar ### ";"crayon noir ### ";"papier vergé ### ";"";"";"";"";"";"Homme assis bras droit levé, main gauche posée sur le genou. Études de mains et de bras ### ";"";"2d89f31ac-442f-4922-a414-e499739710e7 ### ";"";"";"";"";"Degas (cachet de la vente) ### ";"Cachet ### ";"";"En bas à gauche ### ";;"1859 ###  ### 1861 ### ";"Senn ### ";;"
"
"5704fc45-4d93-4374-8627-3f20819d453e";;;;;;;;"";"1";"";"";"G 54.460 bis";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";" ### Création ### ";"inconnue ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Graveur ### ";"";" ### THOMAS ### ";"gravure ### ";"papier ### ";"";"";"";"";"";"Portrait de Villars Branca ### ";"";"0,5fc342777-6134-4a98-a407-08f206835f4b ### ";"";"";"";"";"N. Thomas fecit ### ";"Signature ### ";"";"En bas à droite ### ";;;;;"
"
"571b3d2f-21d5-488c-9286-f7c7ada34e9b";;;;;;;;"";"1";"";"";"40";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";" ### Création ###  ### huile sur toile ### ";"1ère moitié 17e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";" ### LO SPAGNOLETTO (dit)RIBERAJosé de ### ";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"";"Saint Sébastien ### ";"";"8d89f31ac-442f-4922-a414-e499739710e7 ### ";"";"";"";"";"Joseph de RIBERA F.C. ### ";"Signature ### ";"";"En bas à droite ### ";;;;;"
"
"57233e12-f8b3-4450-9b65-59ceb6b9d2f7";;;;;;;;"";"1";"";"";"AD 71";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";" ### Création ###  ### Fusain estompé et rehauts sur papier vélin ### ";"4e quart 18e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"ISABEYJean-Baptiste ### ";"gouache ### ";"papier vélin ### ";"";"";"";"";"";"Portrait d'Hubert Robert ### ";"";"3d89f31ac-442f-4922-a414-e499739710e7 ### ";;;;;;;;;;"vers 1798 ### ";;;"
"
"57285cb1-a70e-462e-bbd6-64ffcbdb8d4a";;;;;;;;"";"1";"";"";"A 447";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";" ### Création ###  ### huile sur toile ###  ### titre inscrit sur le registre d'inventaire ### ";"4e quart 19e siècle ###  ### 1er quart 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";" ### ESPAGNAT Georges d' ### ";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"";"Oliviers en Bretagne, effet de soleil ###  ### Un Jardin méridional ### ";"";"81.362edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";"";"";"";"g d E ###  ### Maison Hess - L. Besnard (reste illisible) ###  ### Musée des Beaux-Arts de la ville du Havre ###  ### 25 F 1/2 fine ###  ### Durand-Ruel Paris 16, rue Laffitte - New York 389, fifth avenue d'Espagnat n° 6233.Espagnat paysage sous bois 0.81 X 0.65 ### ";"Signature ###  ### Tampon ###  ### Tampon ###  ### Inscription ###  ### Etiquette ### ";"";"En bas à droite ###  ### Au dos sur la toile ###  ### Au dos ###  ### Au dos sur la toile ###  ### Au dos ### ";;;;;"
"
"574d511b-110c-4c19-8375-25b4f017fbf5";;;;;;;;"";"1";"";"";"E 59.14";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";" ### Création ### ";"1ère moitié 20e siècle ###  ### 3e quart 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Graveur ### ";"";" ### LÉGER				Fernand ### ";"sérigraphie ### ";"papier ### ";"";"";"";"";"";"Rosace ### ";"";"3d89f31ac-442f-4922-a414-e499739710e7 ### ";"";"";"";"";"581/1000 ### ";"Numéroté ### ";"";"En bas à droite ### ";;;;;"
"
"57564fcf-be33-4c2e-a88a-d715b9afc8a8";;;;;;;;"";"1";"";"";"88.11";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";" ### Création ### ";"20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Graveur ### ";"";" ### SAINT-MARTINJacques ### ";"gravure ### ";"papier ### ";"";"";"";"";"";"Sans titre ### ";"";"5062edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";"";"";"";"SAINT-MARTIN ###  ### 6/40 ###  ### MUSEES DU HAVRE ### ";"Signature ###  ### Numéroté ###  ### Tampon ### ";"";"En bas à droite ###  ### En bas à gauche ###  ### Au dos ### ";;;;;"
"
"5764ba63-8744-41b8-98b7-3adf485b65e0";;;;;;;;"";"1";"";"";"E 297 bis";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";" ### Eug. VEDER ###  ### Place du Tertre à Montmartre - Paris 1929 -E.A. 6/6 ###  ### Création ### ";"2e quart 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Graveur ### ";"";" ### VEDEREugène-Louis ### ";"gravure en couleurs ### ";"";"";"";"";"";"";"Place du Tertre à Paris ### ";"";"1,5d89f31ac-442f-4922-a414-e499739710e7 ### ";"";"";"";"";" ### E 297 bis ###  ### Musée des Beaux-Arts de la ville du Havre ### ";"Signature ###  ### Inscription ###  ### Inscription ###  ### Tampon ### ";"";"En bas à droite ###  ### En bas à gauche ###  ### Au dos ###  ### Au dos ### ";;"1929 ### ";;;"
"
"579513ca-a9da-431d-8935-5ee79c61e0b2";;;;;;;;"";"1";"";"";"A 92";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";" ### Création ###  ### huile sur toile ### ";"1ère moitié 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";" ### DELESALLEEmmanuel ### ";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"";"Pont sur la Seine ### ";"";"6162edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";"";"";"";"E. DELESALLE ###  ### représentant une ancre marine. ###  ### Delesalle pont sur la Seine 0.61 x 0.46. ### ";"Signature ###  ### Tampon ###  ### Etiquette ### ";"";"En bas à droite ###  ### Au dos sur le châssis ###  ### Au dos sur le châssis ### ";;;;;"
"
"57c86d39-ad2c-4df0-a895-54431e060eb5";;;;;;;"";"";"1";"";"";"2015.0.62";"";;"";;"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";;"";;"feca5b42-d17c-45ad-aa3f-b8272a9a983a";" ### Sur le côté à gauche. ###  ### R 35 ###  ### Création ### ";"4e quart 19e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Sculpteur ### ";"";" ### MULOTAlbert ### ";"sculpture ### ";"bois ### ";"";"";"";"";"";"Buste de M. Mulot père ### ";"";"30fc342777-6134-4a98-a407-08f206835f4b ### ";"";"";"";"";"Mulot 1888 ### ";"Inscription ### ";"";"";;"1888 ### ";"Ancien numéro ### ";;"
"
"57d67b91-603d-48d9-af13-ae71ae2049eb";;;;;;;"";"";"1";"";"";"83.71";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;" ### Titré dans l'inventaire : \"Le monument du docteur idéal\" ### ";;"ea9d6e43-c50f-4adb-8f60-5bfddc4ef784";" ### Création ###  ### Lithographie sur papier arches ### ";"20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Lithographe ### ";"";" ### Salvador Domingo Felipe Jacinto DALI I DOMENECH de son vrai nom, marquis de DALI de PUBOL DALISalvador ### ";"lithographie ### ";"papier arches ### ";"";"";"";"";"";"Monument du docteur idéal ### ";"";"55ed481cfb-c2c3-4745-823b-e97e0e404df5 ### ";"";"";"";"";"154/250Dali ###  ### Monument du Docteur Idéal ###  ### MUSEES DU HAVRE ### ";"Numéroté ###  ### Titré ###  ### Tampon ### ";"";"En bas, à droite et à gauche ###  ### Au dos ###  ### Au dos ### ";;;;;"
"
"57f41cd9-4e1c-4353-916d-dae759d0c499";;;;;;;;"";"1";"";"";"69.1";"";;"";;"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";" ### 1969.1 ###  ### Création ###  ### huile sur bois ### ";"20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";" ### DUCLOS				Gustave ### ";"peinture à l'huile ### ";"isorel ### ";"";"";"";"";"";"Bassin de marée ### ";"";"6162edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";"";"";"";"Gustave DUCLOS ###  ### GUSTAVE DUCLOS 55 RUE DAUD D'ANGERS LE HAVRE BASSIN DE MAREE ### ";"Signature ###  ### Inscription ### ";"";"En bas à gauche ###  ### Au dos ### ";;;"Ancien numéro ### ";;"
"
"57f74fb4-ec88-4a6b-9be8-5103adc57877";;;;;;;;"";"1";"";"";"AD 38.9";"";;"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";" ### Création ###  ### Sanguine ### ";"1ère moitié 20e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";" ### DERAINAndré ### ";"sanguine ### ";"papier ### ";"";"";"";"";"";"Nu de femme assise ### ";"";"0,7fc342777-6134-4a98-a407-08f206835f4b ### ";"";"";"";"";"A Derain ###  ### MUSEE DES BEAUX-ARTSDE LA VILLE DU HAVRE ###  ### Derain sanguine nuo,46 x 0,65 ### ";"Signature ###  ### Tampon ###  ### Etiquette ### ";"";"En bas à droite ###  ### Au dos ###  ### Au dos ### ";;;;;"
"
"5800e4e3-3b3f-40a0-ac22-047af671cb74";;;;;;;;"";"1";"";"";"2015.2.6";"";;"";;;"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";" ### INV 2166 ; B 356 ###  ### 69 ###  ### Création ###  ### huile sur toile ### ";"19e siècle ### ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";" ### INCONNU ### ";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"";"Route dans un paysage montagneux ### ";"";"1,5fc342777-6134-4a98-a407-08f206835f4b ### ";"";"";"";"";"Musée des beaux-Arts de la ville du Havre ###  ### + Musées Impériaux SI 36 b Ha flamande (?)+ 554+ Musée du Louvre 554+ Inconnu - route dans un paysage montagneux 0.61 x 0.44 - 69 catag. ### ";"Tampon ###  ### Etiquette ### ";"";"Au dos ###  ### Au dos ### ";;;"Inv. FNAC ###  ### Ancien numéro ### ";"Ecole flamande du 19e siècle ### ";"
"
"58066ef0-6450-491c-aa58-29fe02e510aa";;;;;;;;"";"";"";"";"BD 4";"a9e70fa2-ccad-4f4b-ac66-dd8f5e7a0ca3";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";" ### Datation proposée par Laurent Manœuvre à l’occasion de la préparation de l’exposition Eugène Boudin. L’atelier de la lumière, 16 avril 2016 – 26 septembre 2016 ### ";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";" ### Création ###  ### graphite sur papier vélin ### ";"3e quart 19e siècle ### ";" ### entre ###  ### et ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"BOUDINEugène ### ";"graphite ### ";"papier vélin ### ";"";"";"";"";"";"Croquis de barques ### ";"";"408acd45ee-fdfb-4e0a-b4da-b6ba50a4a3d1 ### ";;;;;;;;;;"1851 ###  ### 1859 ### ";;;"
"
"58085339-6326-4d25-8c98-8a0fd43c2ea5";;;;;;;;;;;"";"1";"";"";"AD 83(2)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ### 21 juin ### ";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"31,18f9313ee-3a8e-4fbc-b64a-4200d8e11ac4 ### ";" ### Création ###  ### Dessin sur papier ###  ### Quatre dessins d'animaux ###  ### date de signature ### ";"1er quart 20e siècle ### ";"";"";"";"";"";"RLecourt21 juin 1901 ### ";"Signé et daté ### ";"";"";"En bas à droite ### ";" ### LECOURTRaymond ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"crayon ### ";"papier ### ";"";"";"";"";"Etude de cheval ### ";"1901 ### ";;;;;;;;;;;;;"
"
"581cd455-b427-4769-8701-9ccb899ea23c";;;;;;;;;;"";"";"1";"";"";"B 200";"a9e70fa2-ccad-4f4b-ac66-dd8f5e7a0ca3";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"2.2d89f31ac-442f-4922-a414-e499739710e7 ### ";" ### 1577 ###  ### 25 ###  ### Création ###  ### huile sur carton ### ";"3e quart 19e siècle ### ";"";;;;;;;;"";;"BOUDINEugène ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"peinture à l'huile ### ";"carton ### ";"";"";"";"";"Moutons dans un pré ### ";"vers 1855 ### ";"Schmit ###  ### Cohen ### ";;;;;;;;;;;;"
"
