"";"dc:creator";"dc:source";"dc:created";"dc:description";"dc:rights";"dc:subjects";"dc:format";"dc:valid";"dc:issued";"dc:modified";"dc:coverage";"dc:expired";"dc:language";"dc:title";"item ### #text";
"54e38feb-0433-48b8-8efc-dfa7e634a393";"system";"";"2015-06-23T18:22:38Z";"";"";"";"";"";"";"2019-07-11T14:24:45Z";"";"";"";"EXT/Brouillard en Savoie";"system";"
"
"54e934f8-60dc-4671-8486-da1e04a16e5f";"system";"";"2008-04-03T22:00:00Z";"";"";"";"";"";"";"2022-10-28T12:53:58Z";"";"";"";"E 227";"system";"
"
"54f9d69f-63b7-43f7-8271-7d2d9aaeba5a";"system";"";"2006-11-29T23:00:00Z";"";"";"";"";"";"";"2022-10-26T12:28:21Z";"";"";"";"AD 60.72";"system";"
"
"54fab736-336a-4ea9-98ad-dd0a7c9d802f";"system";"";"2007-03-14T23:00:00Z";"";"";"";"";"";"";"2021-06-29T08:22:12Z";"";"";"";"77.43";"system";"
"
"5511ec20-fc10-4328-90bc-c9bf11fc0602";"system";"";"2001-10-10T22:00:00Z";"";"";"";"";"";"";"2022-11-09T08:21:54Z";"";"";"";"A 287 bis";"system";"
"
"552cbcb0-4442-41e3-be7f-19fc21373ba6";"system";"";"2009-08-13T22:00:00Z";"";"";"";"";"";"";"2022-11-04T14:29:49Z";"";"";"";"2009.1.17";"system";"
"
"5538c57f-9ca9-4480-a7b3-e2c99538d37f";"Delcourt";"";"2015-11-10T14:19:02Z";"";"";"";"";"";"";"2021-04-16T09:24:42Z";"";"";"";"2015.6.27";"Delcourt";"
"
"554517dd-52f3-4a24-97e4-56cc413dfc34";"system";"";"2006-11-05T23:00:00Z";"";"";"";"";"";"";"2022-10-20T13:33:35Z";"";"";"";"2004.3.167";"system";"
"
"5548ec4d-ca62-436d-a45d-029473a0ce0c";"system";"";"2012-12-26T23:00:00Z";"";"";"";"";"";"";"2021-04-02T12:49:01Z";"";"";"";"2014.0.2";"system";"
"
"557fd368-3e3f-476d-89c5-e391d42b0b2b";"system";"";"2000-11-09T23:00:00Z";"";"";"";"";"";"";"2022-11-03T07:34:24Z";"";"";"";"992.02.1";"system";"
"
"55805e32-b39a-4bdc-9e20-e35b82a50932";"system";"";"2002-01-16T23:00:00Z";"";"";"";"";"";"";"2022-11-08T10:21:35Z";"";"";"";"A 178 bis";"system";"
"
"559ad395-7436-4e70-9ab9-b076c377b4c7";"system";"";"2006-10-24T22:00:00Z";"";"";"";"";"";"";"2022-10-28T08:04:17Z";"";"";"";"E 58.19";"system";"
"
"55a84777-2c09-4ec8-99f1-58e5f8d7e0d2";"Delcourt";"";"2016-12-22T10:30:38Z";"";"";"";"";"";"";"2022-08-17T13:25:27Z";"";"";"";"2016.7.1";"Delcourt";"
"
"55aadd4a-3a8e-4226-b639-6dfea71a94f1";"system";"";"2006-11-21T23:00:00Z";"";"";"";"";"";"";"2022-10-26T13:40:59Z";"";"";"";"AD 94 bis";"system";"
"
"55b21871-1fe5-4868-a05a-ff43e7bcaa04";"system";"";"2000-04-09T22:00:00Z";"";"";"";"";"";"";"2022-11-09T13:56:14Z";"";"";"";"A 520";"system";"
"
"55bae27e-4dd7-4702-baa8-d906f663bf0f";"system";"";"2000-01-31T23:00:00Z";"";"";"";"";"";"";"2022-11-09T12:19:18Z";"";"";"";"A 443";"system";"
"
"55c311c8-f9bf-41ec-8126-42ee2e227157";"system";"";"2001-03-14T23:00:00Z";"";"";"";"";"";"";"2022-11-10T08:23:56Z";"";"";"";"B 182";"system";"
"
"55cbadce-47f5-4616-899e-4c2923218beb";"system";"";"2009-11-12T23:00:00Z";"";"";"";"";"";"";"2022-12-06T10:18:03Z";"";"";"";"71.232";"system";"
"
"56042e7c-88cb-4827-b9af-dfba4f876ceb";"Ducroix";"";"2022-07-18T10:05:54Z";"";"";"";"";"";"";"2022-10-17T08:55:09Z";"";"";"";"2022.3.1";"Ducroix";"
"
"56245ce1-0173-4fe7-a808-c55478f25dd2";"system";"";"2000-07-25T22:00:00Z";"";"";"";"";"";"";"2022-11-07T14:57:58Z";"";"";"";"A 72";"system";"
"
"56268a1e-1867-432c-8799-48bde42a9d72";"system";"";"2008-03-26T23:00:00Z";"";"";"";"";"";"";"2022-10-26T13:02:38Z";"";"";"";"AD 80 bis 2";"system";"
"
"5650297e-5cd9-402f-a980-7cbe5bb04a22";"system";"";"2009-11-17T23:00:00Z";"";"";"";"";"";"";"2021-06-21T07:49:50Z";"";"";"";"FNAC 975";"system";"
"
"56503674-8a60-4f1c-84a8-f6df7edfc686";"system";"";"2007-03-14T23:00:00Z";"";"";"";"";"";"";"2021-06-22T07:54:27Z";"";"";"";"83.56";"system";"
"
"56545197-77dc-48df-873a-8c5c6b5e5fd9";"Delcourt";"";"2015-10-29T16:46:45Z";"";"";"";"";"";"";"2022-08-24T07:09:58Z";"";"";"";"2015.3.8";"Delcourt";"
"
"565cbd52-b605-42e9-8fa1-27ece9cfbf60";"system";"";"2015-01-20T23:00:00Z";"";"";"";"";"";"";"2022-10-19T06:57:52Z";"";"";"";"563";"system";"
"
"565da1c6-d2dd-41c6-a64a-cfe003fe4d07";"system";"";"2007-04-10T22:00:00Z";"";"";"";"";"";"";"2022-12-12T10:43:41Z";"";"";"";"83.92";"system";"
"
"5663a769-57cf-4ab6-a853-fbb3e6db0ce1";"system";"";"2001-02-26T23:00:00Z";"";"";"";"";"";"";"2022-11-02T13:25:44Z";"";"";"";"83.109";"system";"
"
"56737cab-4721-41da-a08d-84151f041f54";"system";"";"2002-03-19T23:00:00Z";"";"";"";"";"";"";"2021-03-25T14:18:53Z";"";"";"";"1971.416";"system";"
"
"569798ce-b823-4d10-a394-c31cb7d99cab";"Delcourt";"";"2015-11-10T14:24:05Z";"";"";"";"";"";"";"2021-04-16T09:41:17Z";"";"";"";"2015.6.48";"Delcourt";"
"
"56c1fd91-0172-4b24-8a63-2969bc4e0255";"system";"";"2006-01-17T23:00:00Z";"";"";"";"";"";"";"2022-11-10T10:21:17Z";"";"";"";"79.32";"system";"
"
"56c29769-011e-43d8-9b0e-56680b40f322";"system";"";"2008-04-03T22:00:00Z";"";"";"";"";"";"";"2022-10-28T13:08:08Z";"";"";"";"E 245";"system";"
"
"56cddfbc-6dea-4b5a-949c-516964aae89f";"system";"";"2001-10-03T22:00:00Z";"";"";"";"";"";"";"2022-11-02T09:05:39Z";"";"";"";"75.76";"system";"
"
"56d4f1f8-9632-43d4-a482-486cfed5f37a";"system";"";"2008-04-01T22:00:00Z";"";"";"";"";"";"";"2022-10-19T06:35:38Z";"";"";"";"86.13";"system";"
"
"56db44c1-0564-45d8-a57b-15155eb2db64";"system";"";"2006-10-26T22:00:00Z";"";"";"";"";"";"";"2022-10-20T13:17:29Z";"";"";"";"2004.3.149";"system";"
"
"5704fc45-4d93-4374-8627-3f20819d453e";"system";"";"2008-04-08T22:00:00Z";"";"";"";"";"";"";"2022-10-24T13:46:21Z";"";"";"";"G 54.460 bis";"system";"
"
"571b3d2f-21d5-488c-9286-f7c7ada34e9b";"system";"";"2001-09-19T22:00:00Z";"";"";"";"";"";"";"2022-12-05T13:00:20Z";"";"";"";"40";"system";"
"
"57233e12-f8b3-4450-9b65-59ceb6b9d2f7";"system";"";"2006-11-12T23:00:00Z";"";"";"";"";"";"";"2022-10-26T12:48:50Z";"";"";"";"AD 71";"system";"
"
"57285cb1-a70e-462e-bbd6-64ffcbdb8d4a";"system";"";"2000-10-08T22:00:00Z";"";"";"";"";"";"";"2022-11-09T12:31:46Z";"";"";"";"A 447";"system";"
"
"574d511b-110c-4c19-8375-25b4f017fbf5";"system";"";"2006-10-23T22:00:00Z";"";"";"";"";"";"";"2022-10-28T08:42:14Z";"";"";"";"E 59.14";"system";"
"
"57564fcf-be33-4c2e-a88a-d715b9afc8a8";"system";"";"2008-04-10T22:00:00Z";"";"";"";"";"";"";"2022-10-19T06:42:23Z";"";"";"";"88.11";"system";"
"
"5764ba63-8744-41b8-98b7-3adf485b65e0";"system";"";"2008-02-11T23:00:00Z";"";"";"";"";"";"";"2022-10-27T13:00:08Z";"";"";"";"E 297 bis";"system";"
"
"579513ca-a9da-431d-8935-5ee79c61e0b2";"system";"";"2001-01-02T23:00:00Z";"";"";"";"";"";"";"2022-11-08T08:17:18Z";"";"";"";"A 92";"system";"
"
"57c86d39-ad2c-4df0-a895-54431e060eb5";"system";"";"2015-05-04T22:00:00Z";"";"";"";"";"";"";"2021-04-15T06:32:05Z";"";"";"";"2015.0.62";"system";"
"
"57d67b91-603d-48d9-af13-ae71ae2049eb";"system";"";"2014-11-25T23:00:00Z";"";"";"";"";"";"";"2022-12-12T09:44:26Z";"";"";"";"83.71";"system";"
"
"57f41cd9-4e1c-4353-916d-dae759d0c499";"system";"";"2001-01-15T23:00:00Z";"";"";"";"";"";"";"2022-12-06T09:31:22Z";"";"";"";"69.1";"system";"
"
"57f74fb4-ec88-4a6b-9be8-5103adc57877";"system";"";"2006-01-17T23:00:00Z";"";"";"";"";"";"";"2022-10-26T09:26:51Z";"";"";"";"AD 38.9";"system";"
"
"5800e4e3-3b3f-40a0-ac22-047af671cb74";"system";"";"2002-01-17T23:00:00Z";"";"";"";"";"";"";"2022-11-07T09:21:53Z";"";"";"";"2015.2.6";"system";"
"
"58066ef0-6450-491c-aa58-29fe02e510aa";"system";"";"2005-08-30T22:00:00Z";"";"";"";"";"";"";"2022-10-27T07:59:54Z";"";"";"";"BD 4";"system";"
"
"58085339-6326-4d25-8c98-8a0fd43c2ea5";"Delcourt";"";"2016-09-14T16:11:10Z";"";"";"";"";"";"";"2022-10-26T13:08:08Z";"";"";"";"AD 83(2)";"Delcourt";"
"
"581cd455-b427-4769-8701-9ccb899ea23c";"system";"";"2001-05-14T22:00:00Z";"";"";"";"";"";"";"2022-11-10T08:28:35Z";"";"";"";"B 200";"system";"
"
"58291219-d3a6-41a6-a5ed-30a70f9fe85d";"system";"";"2006-10-23T22:00:00Z";"";"";"";"";"";"";"2022-10-28T08:37:55Z";"";"";"";"E 59.13";"system";"
"
"5837ba8e-c2fe-4917-b40d-c843b3740ace";"system";"";"2001-08-27T22:00:00Z";"";"";"";"";"";"";"2022-11-29T10:19:56Z";"";"";"";"A 341";"system";"
"
"58401aef-5ab2-41b5-bb2a-3583c46d56af";"system";"";"2010-11-29T23:00:00Z";"";"";"";"";"";"";"2022-01-19T07:41:18Z";"";"";"";"754";"system";"
"
"584965d3-c462-4d04-b528-d6d7a4d33a1f";"system";"";"2000-01-20T23:00:00Z";"";"";"";"";"";"";"2022-12-12T14:28:12Z";"";"";"";"110";"system";"
"
"584ea183-c342-490e-a89c-f0fd73022b41";"system";"";"2007-01-23T23:00:00Z";"";"";"";"";"";"";"2022-08-03T07:10:23Z";"";"";"";"2006.1.3d";"system";"
"
"585edbea-1714-435d-bbac-c61f440d0f9f";"system";"";"2001-03-13T23:00:00Z";"";"";"";"";"";"";"2022-11-10T08:21:49Z";"";"";"";"B 177";"system";"
"
"585fb96b-1804-4fe1-b103-aebb76bacd48";"system";"";"2001-10-02T22:00:00Z";"";"";"";"";"";"";"2021-03-16T08:05:30Z";"";"";"";"75.48.6";"system";"
"
"5878dd77-d7f5-499a-94b2-da905402be3e";"system";"";"2007-03-28T22:00:00Z";"";"";"";"";"";"";"2022-10-18T06:44:48Z";"";"";"";"66.17";"system";"
"
"58828225-6f2b-4587-998a-ff2dc7e2d295";"system";"";"2008-04-03T22:00:00Z";"";"";"";"";"";"";"2022-10-28T08:48:43Z";"";"";"";"E 59.20";"system";"
"
"5895c3eb-b3ce-4c0c-a59a-b5fb52198994";"system";"";"2000-01-16T23:00:00Z";"";"";"";"";"";"";"2022-12-08T08:37:54Z";"";"";"";"77.42";"system";"
"
"589f3105-59fa-4a9a-a27c-b14de5c1bd86";"system";"";"2000-10-09T22:00:00Z";"";"";"";"";"";"";"2022-11-09T14:49:36Z";"";"";"";"B 46";"system";"
"
"58a7f8b3-bb5c-4bf4-8913-3dccf83d1039";"system";"";"2013-06-12T22:00:00Z";"";"";"";"";"";"";"2022-11-07T08:42:01Z";"";"";"";"2015.0.69";"system";"
"
"58acd21a-0e8e-40c2-bb83-07db3de1346c";"Delcourt";"";"2016-04-14T09:49:03Z";"";"";"";"";"";"";"2022-12-05T14:00:46Z";"";"";"";"59.57";"Delcourt";"
"
"58b87b73-b228-4c47-9f8f-b9acb71fe489";"system";"";"2001-10-22T22:00:00Z";"";"";"";"";"";"";"2022-11-08T13:56:50Z";"";"";"";"A 204";"system";"
"
"58b97c5c-5589-416b-a788-f392922b8139";"system";"";"2011-07-17T22:00:00Z";"";"";"";"";"";"";"2021-04-16T06:41:31Z";"";"";"";"2015.2.56";"system";"
"
"58c21d87-9526-4ebe-8570-3bedbc4d79d7";"system";"";"2001-12-13T23:00:00Z";"";"";"";"";"";"";"2022-11-08T10:16:03Z";"";"";"";"A 162";"system";"
"
"58c33ce3-838b-4b47-8162-00d18863d1e8";"system";"";"2007-03-18T23:00:00Z";"";"";"";"";"";"";"2022-10-28T08:05:56Z";"";"";"";"E 58.23";"system";"
"
"58cc6ff6-bc32-4f20-92f4-fb7170bef5bd";"system";"";"2007-01-23T23:00:00Z";"";"";"";"";"";"";"2022-08-03T07:14:45Z";"";"";"";"2006.1.5a";"system";"
"
"58db3f57-ebc5-4a23-a113-2d3679f2b7d9";"system";"";"2005-09-05T22:00:00Z";"";"";"";"";"";"";"2022-10-27T12:11:04Z";"";"";"";"BD 58";"system";"
"
"58e7f0a3-96ac-4f49-8281-73138d9a1c63";"system";"";"2001-12-20T23:00:00Z";"";"";"";"";"";"";"2022-11-07T08:37:41Z";"";"";"";"2015.0.50";"system";"
"
"59091cbe-b97b-4d15-987c-03124322d92c";"system";"";"2012-08-26T22:00:00Z";"";"";"";"";"";"";"2021-04-13T12:18:57Z";"";"";"";"2014.0.51";"system";"
"
"590e83e8-fffb-442e-86bc-067089b5169f";"system";"";"2014-09-21T22:00:00Z";"";"";"";"";"";"";"2022-11-02T08:15:16Z";"";"";"";"67.9";"system";"
"
"59271a9f-38b2-4672-a3ff-672e13c8f31f";"system";"";"2001-01-22T23:00:00Z";"";"";"";"";"";"";"2022-08-18T06:57:53Z";"";"";"";"AD 57.21";"system";"
"
"593ba2d2-ddd0-4975-a963-bc9b55c1ac46";"system";"";"2001-11-07T23:00:00Z";"";"";"";"";"";"";"2022-11-07T14:00:31Z";"";"";"";"A 57.74";"system";"
"
"593e7908-55c4-4f6d-a269-bfab51d527c9";"system";"";"2006-11-08T23:00:00Z";"";"";"";"";"";"";"2022-10-19T07:19:10Z";"";"";"";"2004.3.94";"system";"
"
"593eeeff-f8e6-4046-81d6-5d76b9c58d2a";"Delcourt";"";"2016-08-03T16:59:46Z";"";"";"";"";"";"";"2022-11-10T10:13:09Z";"";"";"";"58.28.36.9 ";"Delcourt";"
"
"593f5a26-6184-4a1c-bac1-688d790a2765";"system";"";"2001-12-02T23:00:00Z";"";"";"";"";"";"";"2022-12-12T13:29:04Z";"";"";"";"86.01";"system";"
"
"595edc73-e688-4732-af93-7412475e043f";"system";"";"2006-11-21T23:00:00Z";"";"";"";"";"";"";"2022-10-05T12:57:28Z";"";"";"";"65.13";"system";"
"
"5971a484-2fa1-4032-8f97-ab11ec73fc68";"system";"";"2006-01-24T23:00:00Z";"";"";"";"";"";"";"2022-10-26T12:29:16Z";"";"";"";"AD 60.78";"system";"
"
"598f8890-5fa6-4ca7-9ab8-e434d89f8aee";"system";"";"2006-12-03T23:00:00Z";"";"";"";"";"";"";"2022-07-06T07:07:24Z";"";"";"";"60";"system";"
"
"59b57441-b6c0-49a3-97ec-194fb73b490a";"system";"";"2000-01-19T23:00:00Z";"";"";"";"";"";"";"2022-12-08T07:36:57Z";"";"";"";"75.69";"system";"
"
"59d20f71-f1fa-4467-8559-33946c20c989";"system";"";"2008-03-31T22:00:00Z";"";"";"";"";"";"";"2022-10-28T08:58:55Z";"";"";"";"E 73";"system";"
"
"59d46b30-dac4-4a7e-beb6-8e16ce52aa19";"Ducroix";"";"2022-08-01T08:06:23Z";"";"";"";"";"";"";"2022-09-02T14:45:55Z";"";"";"";"2022.5.45";"Ducroix";"
"
"59e59cf4-518a-42fd-aa94-c267418eaf14";"system";"";"2013-07-10T22:00:00Z";"";"";"";"";"";"";"2021-04-15T12:12:37Z";"";"";"";"2015.2.25";"system";"
"
"59eed0e0-a3b6-4d2c-b8d1-5f2fc148c710";"system";"";"2001-08-09T22:00:00Z";"";"";"";"";"";"";"2022-11-09T09:40:16Z";"";"";"";"A 376";"system";"
"
"59f319d4-33d4-4cb0-b440-1334a401c02b";"Delcourt";"";"2016-08-17T14:51:33Z";"";"";"";"";"";"";"2022-11-02T08:06:55Z";"";"";"";"63.46.2";"Delcourt";"
"
"5a0b0802-cf1c-445f-9cf7-131ed6c7afaf";"system";"";"2001-03-05T23:00:00Z";"";"";"";"";"";"";"2022-11-08T09:37:04Z";"";"";"";"A 155";"system";"
"
"5a27bed0-758f-445e-b4ab-687b190aa5e1";"Ducroix";"";"2022-08-01T08:04:13Z";"";"";"";"";"";"";"2022-09-02T14:20:18Z";"";"";"";"2022.5.35";"Ducroix";"
"
"5a2977c9-1e69-4c55-b96f-d844627a7448";"system";"";"2013-04-22T22:00:00Z";"";"";"";"";"";"";"2021-04-02T09:03:26Z";"";"";"";"2011.0.8";"system";"
"
"5a46a4bf-ab2d-4ec6-afbd-15325fe0d318";"system";"";"2001-09-25T22:00:00Z";"";"";"";"";"";"";"2022-08-24T13:02:35Z";"";"";"";"A 338 bis";"system";"
"
"5a5e0caa-e75b-4972-ae25-511564ad2359";"system";"";"2000-12-27T23:00:00Z";"";"";"";"";"";"";"2022-11-08T08:23:25Z";"";"";"";"A 106 bis";"system";"
"
"5a7811b2-bf8b-40e5-9504-2268288cacfd";"system";"";"2014-11-18T23:00:00Z";"";"";"";"";"";"";"2022-12-12T09:03:39Z";"";"";"";"83.29";"system";"
"
"5a7ccc01-5336-47d0-89a9-86adf3429b0d";"system";"";"2004-05-24T22:00:00Z";"";"";"";"";"";"";"2022-10-27T12:29:56Z";"";"";"";"E 309";"system";"
"
"5a83741e-890f-4ecc-b1e8-29008a75725c";"system";"";"2002-04-29T22:00:00Z";"";"";"";"";"";"";"2022-12-01T12:37:19Z";"";"";"";"63.8.1";"system";"
"
"5ab2127c-c7b0-4cfa-b4e4-0c65c7f059e7";"system";"";"2008-04-22T22:00:00Z";"";"";"";"";"";"";"2022-10-28T08:55:23Z";"";"";"";"E 65";"system";"
"
"5ab23ef4-1b9a-417e-ba38-b97761494769";"system";"";"2001-12-12T23:00:00Z";"";"";"";"";"";"";"2022-11-02T08:09:14Z";"";"";"";"64.27";"system";"
"
"5ab62470-30f3-4bd4-b3da-1954aaca5dae";"system";"";"2015-04-07T22:00:00Z";"";"";"";"";"";"";"2021-04-14T12:43:30Z";"";"";"";"2015.0.48";"system";"
"
"5ac4fcbd-3cc3-4e19-b429-c71ddac8cccf";"system";"";"2011-05-14T22:00:00Z";"";"";"";"";"";"";"2021-04-02T08:03:28Z";"";"";"";"2010.9.1";"system";"
"
"5ad9e972-4edb-4f88-82e4-f155a0b3f720";"system";"";"2008-04-21T22:00:00Z";"";"";"";"";"";"";"2022-10-24T13:56:57Z";"";"";"";"E 312";"system";"
"
"5ae05ff8-012e-4aa1-a0ed-62c3b715d245";"system";"";"2015-06-23T18:22:44Z";"";"";"";"";"";"";"2019-07-11T14:24:46Z";"";"";"";"EXT/Fête vénitienne";"system";"
"
"5af5b30b-0f30-406a-b6e0-06ae7c62ecbe";"Ducroix";"";"2022-08-01T07:57:34Z";"";"";"";"";"";"";"2022-09-01T09:04:55Z";"";"";"";"2022.5.7";"Ducroix";"
"
"5af91663-ff55-452a-a54e-1cf09bad58d9";"system";"";"2001-12-26T23:00:00Z";"";"";"";"";"";"";"2022-12-12T15:15:16Z";"";"";"";"175";"system";"
"
"5b032528-290c-4b47-a070-07e050523cf5";"system";"";"2014-11-17T23:00:00Z";"";"";"";"";"";"";"2022-12-12T09:03:19Z";"";"";"";"83.28";"system";"
"
"5b1be30c-1f5b-4d65-978d-0368398a4d6b";"system";"";"2001-12-02T23:00:00Z";"";"";"";"";"";"";"2022-11-02T14:27:27Z";"";"";"";"198";"system";"
"
"5b2f0452-a1d9-4c56-af62-254cdf530a67";"system";"";"2006-11-21T23:00:00Z";"";"";"";"";"";"";"2022-12-05T13:16:58Z";"";"";"";"53";"system";"
"
"5b3d1837-1de9-475e-9d54-5fd1015182e9";"system";"";"2014-04-17T22:00:00Z";"";"";"";"";"";"";"2022-11-07T08:23:35Z";"";"";"";"2014.1.8";"system";"
"
"5b400946-0903-4696-8b9c-3254b532b625";"system";"";"2000-01-23T23:00:00Z";"";"";"";"";"";"";"2022-11-07T13:46:43Z";"";"";"";"A 55.38.3";"system";"
"
"5b4f7936-d06f-46fd-b15a-f8ca1b520de7";"system";"";"2008-01-07T23:00:00Z";"";"";"";"";"";"";"2021-03-26T09:47:55Z";"";"";"";"2003.3.22";"system";"
"
"5b63d511-8385-43d9-a3ca-97ed64794614";"system";"";"2000-01-19T23:00:00Z";"";"";"";"";"";"";"2022-11-07T14:54:01Z";"";"";"";"A 63";"system";"
"
"5b65d3f0-7718-45b3-a848-33acf7333d74";"system";"";"2015-06-03T22:00:00Z";"";"";"";"";"";"";"2022-06-10T08:06:42Z";"";"";"";"R 101";"system";"
"
"5b6760c1-2fce-4e82-abea-edb47864ea98";"system";"";"2009-08-11T22:00:00Z";"";"";"";"";"";"";"2022-10-25T06:58:54Z";"";"";"";"2009.1.7";"system";"
"
"5b6d6076-4f8c-4026-a459-911bea34c455";"system";"";"2005-08-15T22:00:00Z";"";"";"";"";"";"";"2020-12-02T10:17:40Z";"";"";"";"2004.3.199";"system";"
"
"5b6feed5-6a0e-4419-96cc-854ef9671500";"system";"";"2002-01-22T23:00:00Z";"";"";"";"";"";"";"2022-11-09T10:13:04Z";"";"";"";"A 434";"system";"
"
"5b733494-291f-4ff3-b6c3-7d32cd751f5a";"system";"";"2015-06-09T22:00:00Z";"";"";"";"";"";"";"2022-11-10T10:03:43Z";"";"";"";"FNAC PFH-5278";"system";"
"
"5b7e6caf-f0c0-4b06-b412-9055fa7bdcce";"system";"";"2006-11-07T23:00:00Z";"";"";"";"";"";"";"2022-10-20T13:22:06Z";"";"";"";"2004.3.156";"system";"
"
"5b84da6b-95a7-4e1b-af3e-ee200b43292a";"Ducroix";"";"2020-11-25T12:41:25Z";"";"";"";"";"";"";"2021-04-30T13:39:20Z";"";"";"";"2019.4.1";"Ducroix";"
"
"5b96492a-6770-40a8-b434-f9fd461aaa03";"system";"";"2006-11-23T23:00:00Z";"";"";"";"";"";"";"2022-12-12T13:57:21Z";"";"";"";"88.27.2";"system";"
"
"5b9d3c22-feb9-4b94-9e4a-e640744206f7";"system";"";"2012-12-26T23:00:00Z";"";"";"";"";"";"";"2021-04-12T12:21:55Z";"";"";"";"2014.0.37";"system";"
"
"5bb62acf-7dec-4646-a5db-e959eeb90ba3";"system";"";"2004-11-21T23:00:00Z";"";"";"";"";"";"";"2022-12-12T11:09:17Z";"";"";"";"84.17";"system";"
"
"5bb82162-ac50-48fa-88b7-e51435b6d89f";"system";"";"2001-12-16T23:00:00Z";"";"";"";"";"";"";"2022-11-07T08:22:19Z";"";"";"";"2014.0.48";"system";"
"
"5bd53b61-54c6-42fa-ae78-85592dfdb282";"system";"";"2002-01-20T23:00:00Z";"";"";"";"";"";"";"2022-11-02T14:24:14Z";"";"";"";"184";"system";"
"
"5beab679-3e0e-4495-afd6-dbd950646ef8";"system";"";"2002-01-22T23:00:00Z";"";"";"";"";"";"";"2021-05-12T09:26:18Z";"";"";"";"A 417";"system";"
"
"5bf9f60f-a50d-4919-a5d3-6c72cc967e32";"system";"";"2005-01-25T23:00:00Z";"";"";"";"";"";"";"2022-11-04T07:18:31Z";"";"";"";"2004.3.24";"system";"
"
"5c08aa62-1170-42d7-b6cb-f827df4fa0de";"system";"";"2006-11-08T23:00:00Z";"";"";"";"";"";"";"2022-10-20T13:40:19Z";"";"";"";"2004.3.176";"system";"
"
"5c152748-54f0-4e5c-94c9-445814a46ab6";"system";"";"2014-12-03T23:00:00Z";"";"";"";"";"";"";"2021-06-01T13:08:38Z";"";"";"";"D 2011.4.2";"system";"
"
"5c1cfe2c-423d-4301-81d0-37b3bded917a";"system";"";"2008-03-31T22:00:00Z";"";"";"";"";"";"";"2022-10-28T08:53:48Z";"";"";"";"E 62";"system";"
"
"5c59f567-bc48-41b3-bb5f-8b30f40d9db7";"system";"";"2001-01-22T23:00:00Z";"";"";"";"";"";"";"2022-11-02T13:07:53Z";"";"";"";"81.33";"system";"
"
"5c5c0d37-71a5-4fff-b6dc-97a4da7f087a";"system";"";"2014-11-26T23:00:00Z";"";"";"";"";"";"";"2022-12-12T09:09:46Z";"";"";"";"83.34";"system";"
"
"5cae9591-92ec-47e4-ae01-78153427d669";"system";"";"2003-10-13T22:00:00Z";"";"";"";"";"";"";"2020-09-21T13:32:45Z";"";"";"";"63.9.23";"system";"
"
"5cb4a52d-5d29-42c8-84aa-284505e36343";"system";"";"2001-09-19T22:00:00Z";"";"";"";"";"";"";"2022-12-12T13:41:47Z";"";"";"";"86.21";"system";"
"
"5cc611f0-7984-4b33-bae7-2d2af8d8586f";"system";"";"2006-11-28T23:00:00Z";"";"";"";"";"";"";"2022-10-25T12:54:23Z";"";"";"";"2014.0.34";"system";"
"
"5cd1e969-3436-4560-a492-e7e07c58d25b";"system";"";"2011-05-15T22:00:00Z";"";"";"";"";"";"";"2022-09-06T12:05:25Z";"";"";"";"2010.12.3";"system";"
"
"5cd90a31-dd36-4277-8d8d-463b60f47709";"system";"";"2006-01-18T23:00:00Z";"";"";"";"";"";"";"2022-10-26T13:46:56Z";"";"";"";"AD 96";"system";"
"
"5d0d180c-2d90-47ef-8446-07e65268cd76";"system";"";"2001-10-02T22:00:00Z";"";"";"";"";"";"";"2022-11-07T13:49:30Z";"";"";"";"A 56.27";"system";"
"
"5d119d28-9557-4af8-b394-23542550e321";"Ducroix";"";"2022-08-01T08:03:47Z";"";"";"";"";"";"";"2022-09-02T14:13:49Z";"";"";"";"2022.5.31";"Ducroix";"
"
"5d2720b8-cd06-4e3a-9152-30f1d891be1e";"system";"";"2006-01-09T23:00:00Z";"";"";"";"";"";"";"2022-10-18T13:25:15Z";"";"";"";"84.5.1";"system";"
"
"5d2bcbdb-6ba5-4bea-b8b9-dc479ea344db";"system";"";"2000-11-13T23:00:00Z";"";"";"";"";"";"";"2022-11-10T07:50:44Z";"";"";"";"B 109";"system";"
"
"5d375adb-4971-4699-b68f-636d75480006";"system";"";"2002-01-13T23:00:00Z";"";"";"";"";"";"";"2021-07-13T07:46:36Z";"";"";"";"73.60";"system";"
"
"5d464878-58af-47d0-a8d3-9fb585b02e50";"Delcourt";"";"2016-08-03T17:22:06Z";"";"";"";"";"";"";"2022-11-10T10:11:39Z";"";"";"";"58.28.36.3";"Delcourt";"
"
"5d5f5a8a-56cb-4eb6-8a1e-b78d025533a1";"system";"";"2000-01-19T23:00:00Z";"";"";"";"";"";"";"2022-11-02T07:38:37Z";"";"";"";"8";"system";"
"
"5d6b1f2e-eea9-40d1-9ac2-a71b8bd7691c";"system";"";"2014-09-25T22:00:00Z";"";"";"";"";"";"";"2022-12-06T07:57:02Z";"";"";"";"63.17";"system";"
"
"5d6eda59-be88-4db8-8e05-0919261cab35";"system";"";"2006-11-26T23:00:00Z";"";"";"";"";"";"";"2022-10-26T06:40:38Z";"";"";"";"AD 17";"system";"
"
